"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line"
"115","India",4,"903",11,"368",11,"117",2,1380004.385,1366417.754,1.0099,3287590,415.629,9,"181,401","7,910","5,170","190","86,668","89,563","8,944","132","4","3,611,599","2,619","1,378,789,216",97,21.9
"116","Indonesia",21,"185",7,"530",21,"64",4,273523.615,270625.568,1.0107,1904569,142.0928,33,"25,773","557","1,573","53","7,015","17,185","","94","6","311,906","1,141","273,263,419",147,10.9
"119","Iraq",43,"57",23,"148",63,"7.9",36,40222.493,39309.783,1.0232,438317,89.6835,65,"6,179","306","195","10","3,110","2,874","36","154","5","211,485","5,269","40,135,453",88,23
"120","Ireland",65,"24",60,"29",53,"12",124,4937.786,4882.495,1.0113,70273,69.479,34,"24,929","53","1,651","6","22,089","1,189","42","5,054","335","325,795","66,047","4,932,806",158,8.2
"122","Israel",46,"49",43,"63",44,"17",101,8655.535,8519.377,1.016,20770,410.177,40,"17,008","21","284","","14,776","1,948","39","1,849","31","567,429","61,693","9,197,590",95,22
"123","Italy",12,"294",16,"216",18,"82",23,60461.826,60550.075,0.9985,301336,200.9387,6,"232,664","416","33,340","111","155,633","43,691","450","3,848","551","3,824,621","63,249","60,469,262",61,29.9
"125","Jamaica",134,"2.8",94,"10",80,"4.1",138,2961.167,2948.279,1.0044,10991,268.2448,132,"575","6","9","","289","277","2","194","3","12,078","4,080","2,960,047",118,17.1
"126","Japan",3,"935",3,"978",5,"202",11,126476.461,126860.301,0.997,377930,335.6714,41,"16,719","","874","","14,254","1,591","131","132","7","284,763","2,251","126,508,530",126,16.1
"127","Jordan",78,"14",66,"26",65,"7.6",89,10203.134,10101.694,1.01,89342,113.0677,128,"734","4","9","","507","218","5","72","0.9","183,641","18,015","10,194,057",139,14.2
"128","Kazakhstan",36,"78",31,"89",69,"6.8",64,18776.707,18551.427,1.0121,2724900,6.8081,52,"10,382","450","38","1","5,220","5,124","62","554","2","788,289","42,028","18,756,335",171,2.6
"129","Kenya",105,"6.9",81,"14",46,"15",27,53771.296,52573.973,1.0228,580367,90.5875,90,"1,888","143","63","1","464","1,361","7","35","1","76,962","1,434","53,657,349",47,36.1
"133","Kyrgyzstan",86,"11",74,"21",122,"1.1",112,6524.195,6415.85,1.0169,199951,32.0871,93,"1,722","60","16","","1,113","593","4","264","2","109,521","16,813","6,514,168",52,32.1
"136","Latvia",106,"6.8",114,"5.1",99,"2.5",151,1886.198,1906.743,0.9892,64559,29.5349,111,"1,065","1","24","","745","296","3","564","13","108,174","57,300","1,887,841",77,25.5
"137","Lebanon",74,"16",51,"39",78,"4.5",108,6825.445,6855.713,0.9956,10452,655.9236,107,"1,191","19","26","","708","457","6","174","4","82,076","12,021","6,827,955",70,28.6
"139","Liberia",168,"0.3",152,"1.4",159,"0.3",123,5057.681,4937.374,1.0244,111369,44.3335,151,"280","7","27","","148","105","","55","5","","","5,046,147",20,54.1
"142","Lithuania",92,"9.5",125,"3.3",49,"14",142,2722.289,2759.627,0.9865,65300,42.2608,95,"1,670","8","70","2","1,229","371","17","613","26","299,428","109,873","2,725,228",94,22.2
"148","Madagascar",139,"1.9",142,"1.8",117,"1.4",51,27691.018,26969.307,1.0268,587041,45.9411,126,"758","60","6","1","165","587","8","27","0.2","10,249","371","27,621,064",3,70.7
"149","Malawi",141,"1.8",143,"1.8",160,"0.3",63,19129.952,18628.747,1.0269,118484,157.2258,153,"273","","4","","42","227","1","14","0.2","3,372","177","19,081,339",22,50.7
"150","Malaysia",28,"125",18,"196",20,"69",44,32365.999,31949.777,1.013,330803,96.5825,61,"7,762","30","115","","6,330","1,317","9","240","4","546,368","16,901","32,328,196",167,3.8
"151","Maldives",167,"0.3",165,"0.7",144,"0.5",173,540.544,530.953,1.0181,300,1769.8433,96,"1,633","42","5","","230","1,398","9","3,026","9","11,775","21,820","539,651",130,15
"152","Mali",147,"1.3",146,"1.7",152,"0.4",60,20250.833,19658.031,1.0302,1240192,15.8508,106,"1,250","24","76","3","696","478","","62","4","3,483","172","20,192,489",46,36.1
