Rank,name,pop2020,pop2019,GrowthRate,area,Density
128,Panama,4314.767,4246.439,1.0161,75417,56.3061
129,Kuwait,4270.571,4207.083,1.0151,17818,236.1142
130,Croatia,4105.267,4130.304,0.9939,56594,72.9813
131,Moldova,4033.963,4043.263,0.9977,33846,119.4606
132,Georgia,3989.167,3996.765,0.9981,69700,57.3424
133,Eritrea,3546.421,3497.117,1.0141,117600,29.7374
134,Uruguay,3473.73,3461.734,1.0035,181034,19.122
135,Bosnia and Herzegovina,3280.819,3301,0.9939,51209,64.4613
136,Mongolia,3278.29,3225.167,1.0165,1564110,2.062
137,Armenia,2963.243,2957.731,1.0019,29743,99.4429
138,Jamaica,2961.167,2948.279,1.0044,10991,268.2448
141,Qatar,2881.053,2832.067,1.0173,11586,244.4387
140,Albania,2877.797,2880.917,0.9989,28748,100.2128
139,Puerto Rico,2860.853,2933.408,0.9753,8870,330.7112
142,Lithuania,2722.289,2759.627,0.9865,65300,42.2608
143,Namibia,2540.905,2494.53,1.0186,825615,3.0214
144,Gambia,2416.668,2347.706,1.0294,10689,219.6376
145,Botswana,2351.627,2303.697,1.0208,582000,3.9582
146,Gabon,2225.734,2172.579,1.0245,267668,8.1167
147,Lesotho,2142.249,2125.268,1.008,30355,70.0138
148,Macedonia,2083.374,2083.459,1,25713,81.0275
149,Slovenia,2078.938,2078.654,1.0001,20273,102.5331
150,Guinea-Bissau,1968.001,1920.922,1.0245,36125,53.1743
151,Latvia,1886.198,1906.743,0.9892,64559,29.5349
152,Bahrain,1701.575,1641.172,1.0368,765,2145.3229
154,Equatorial Guinea,1402.985,1355.986,1.0347,28051,48.34
153,Trinidad and Tobago,1399.488,1394.973,1.0032,5130,271.9246
155,Estonia,1326.535,1325.648,1.0007,45227,29.311
156,Timor-Leste,1318.445,1293.119,1.0196,14874,86.9382
157,Mauritius,1271.768,1269.668,1.0017,2040,622.3863
158,Cyprus,1207.359,1198.575,1.0073,9251,129.5617
159,Swaziland,1160.164,1148.13,1.0105,17364,66.1213
160,Djibouti,988,973.56,1.0148,23200,41.9638
161,Fiji,896.445,889.953,1.0073,18272,48.7058
162,Reunion,895.312,888.927,1.0072,2511,354.0131
163,Comoros,869.601,850.886,1.022,1862,456.9742
164,Guyana,786.552,782.766,1.0048,214969,3.6413
165,Bhutan,771.608,763.092,1.0112,38394,19.8753
166,Solomon Islands,686.884,669.823,1.0255,28896,23.1805
167,Macau,649.335,640.445,1.0139,30,21348.1667
168,Montenegro,628.066,627.987,1.0001,13812,45.4668
169,Luxembourg,625.978,615.729,1.0166,2586,238.1009
170,Western Sahara,597.339,582.463,1.0255,266000,2.1897
171,Suriname,586.632,581.372,1.009,163820,3.5488
172,Cape Verde,555.987,549.935,1.011,4033,136.3588
173,Maldives,540.544,530.953,1.0181,300,1769.8433
174,Malta,441.543,440.372,1.0027,316,1393.5823
175,Brunei,437.479,433.285,1.0097,5765,75.1578
176,Guadeloupe,400.124,400.056,1.0002,1628,245.7346
177,Belize,397.628,390.353,1.0186,22966,16.997
178,Bahamas,393.244,389.482,1.0097,13943,27.9339
179,Martinique,375.265,375.554,0.9992,1128,332.9379
180,Iceland,341.243,339.031,1.0065,103000,3.2916
181,Vanuatu,307.145,299.882,1.0242,12189,24.6027
182,French Guiana,298.682,290.832,1.027,83534,3.4816
183,Barbados,287.375,287.025,1.0012,430,667.5
184,New Caledonia,285.498,282.75,1.0097,18575,15.2221
185,French Polynesia,280.908,279.287,1.0058,4167,67.0235
186,Mayotte,272.815,266.15,1.025,374,711.631
187,Sao Tome and Principe,219.159,215.056,1.0191,964,223.0871
188,Samoa,198.414,197.097,1.0067,2842,69.3515
189,Saint Lucia,183.627,182.79,1.0046,616,296.737
190,Guam,168.775,167.294,1.0089,549,304.725
191,Curacao,164.093,163.424,1.0041,444,368.0721
192,Kiribati,119.449,117.606,1.0157,811,145.0136
193,Micronesia,115.023,113.815,1.0106,702,162.1296
194,Grenada,112.523,112.003,1.0046,344,325.5901
195,Saint Vincent and the Grenadines,110.94,110.589,1.0032,389,284.2905
196,Aruba,106.766,106.314,1.0043,180,590.6333
198,Tonga,105.695,104.494,1.0115,747,139.8849
197,United States Virgin Islands,104.425,104.578,0.9985,347,301.3775
199,Seychelles,98.347,97.739,1.0062,452,216.2367
200,Antigua and Barbuda,97.929,97.118,1.0084,442,219.724
201,Isle of Man,85.033,84.584,1.0053,572,147.8741
202,Andorra,77.265,77.142,1.0016,468,164.8333
203,Dominica,71.986,71.808,1.0025,751,95.6165
204,Cayman Islands,65.722,64.948,1.0119,264,246.0152
205,Bermuda,62.278,62.506,0.9964,54,1157.5185
206,Marshall Islands,59.19,58.791,1.0068,181,324.8122
207,Northern Mariana Islands,57.559,57.216,1.006,464,123.3103
208,Greenland,56.77,56.672,1.0017,2166086,0.0262
209,American Samoa,55.191,55.312,0.9978,199,277.9497
210,Saint Kitts and Nevis,53.199,52.823,1.0071,261,202.387
211,Faroe Islands,48.863,48.678,1.0038,1393,34.9447
212,Sint Maarten,42.876,42.388,1.0115,34,1246.7059
213,Monaco,39.242,38.964,1.0071,2.02,19289.1089
214,Turks and Caicos Islands,38.717,38.191,1.0138,948,40.2859
216,Saint Martin,38.666,38.002,1.0175,53,717.0189
215,Liechtenstein,38.128,38.019,1.0029,160,237.6188
217,San Marino,33.931,33.86,1.0021,61,555.082
218,Gibraltar,33.691,33.701,0.9997,6,5616.8333
219,British Virgin Islands,30.231,30.03,1.0067,151,198.8742
220,Palau,18.094,18.008,1.0048,459,39.2331
221,Cook Islands,17.564,17.548,1.0009,236,74.3559
222,Anguilla,15.003,14.869,1.009,91,163.3956
223,Tuvalu,11.792,11.646,1.0125,26,447.9231
224,Wallis and Futuna,11.239,11.432,0.9831,142,80.507
225,Nauru,10.824,10.756,1.0063,21,512.1905
226,Saint Barthélemy,9.877,9.847,1.003,21,468.9048
227,Saint Pierre and Miquelon,5.794,5.822,0.9952,242,24.0579
228,Montserrat,4.992,4.989,1.0006,102,48.9118
229,Falkland Islands,3.48,3.377,1.0305,12173,0.2774
230,Niue,1.626,1.615,1.0068,260,6.2115
231,Tokelau,1.357,1.34,1.0127,12,111.6667
232,Vatican City,0.801,0.799,1.0025,0.44,1815.9091
