"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line","health_dol_rank","health_expenditure_percent_GDP","beds_rank","bed_density_per_k_pop","life_rank","life_expectancy_at_birth_years","unemployment2019","unemployment2020","covid_inc_unemployment"
"109","Jordan",78,"14",66,"26",65,"7.6",89,10203.134,10101.694,1.01,89342,113.0677,128,"734","4","9","","507","218","5","72","0.9","183,641","18,015","10,194,057",139,14.2,75,6.9,128,1.4,114,75,"19.1","no data","#VALUE!"
"110","Kazakhstan",36,"78",31,"89",69,"6.8",64,18776.707,18551.427,1.0121,2724900,6.8081,52,"10,382","450","38","1","5,220","5,124","62","554","2","788,289","42,028","18,756,335",171,2.6,157,3.9,17,6.7,148,71.4,"4.8","7.8","3"
"119","Latvia",106,"6.8",114,"5.1",99,"2.5",151,1886.198,1906.743,0.9892,64559,29.5349,111,"1,065","1","24","","745","296","3","564","13","108,174","57,300","1,887,841",77,25.5,117,5.8,26,5.8,116,74.9,"6.3","8","1.7"
"125","Lithuania",92,"9.5",125,"3.3",49,"14",142,2722.289,2759.627,0.9865,65300,42.2608,95,"1,670","8","70","2","1,229","371","17","613","26","299,428","109,873","2,725,228",94,22.2,89,6.5,13,7.3,110,75.2,"6.3","8.9","2.6"
"132","Malaysia",28,"125",18,"196",20,"69",44,32365.999,31949.777,1.013,330803,96.5825,61,"7,762","30","115","","6,330","1,317","9","240","4","546,368","16,901","32,328,196",167,3.8,155,4,112,1.9,105,75.4,"3.3","4.9","1.6"
"135","Malta",140,"1.8",144,"1.7",101,"2.2",174,441.543,440.372,1.0027,316,1393.5823,131,"618","2","9","","525","84","1","1,400","20","68,038","154,127","441,442",124,16.3,29,9.6,42,4.7,11,82.7,"3.4","5","1.6"
"138","Mauritius",135,"2.6",131,"2.9",75,"5.5",157,1271.768,1269.668,1.0017,2040,622.3863,146,"335","","10","","322","3","","263","8","114,236","89,837","1,271,588",159,8,124,5.5,61,3.7,93,76,"6.7","17","10.3"
"139","Mexico",15,"232",6,"777",23,"58",10,128932.753,127575.529,1.0106,1964375,64.9446,15,"84,627","3,227","9,415","371","59,610","15,602","378","657","73","244,858","1,901","128,810,940",31,46.2,111,5.9,125,1.5,87,76.3,"3.3","5.3","2"
"143","Mongolia",116,"5.1",100,"9.1",137,"0.8",136,3278.29,3225.167,1.0165,1564110,2.062,159,"179","","","","44","135","10","55","","13,641","4,167","3,273,383",62,29.6,158,3.9,14,7,158,70.2,"7","6.3","-0.7"
"146","Morocco",63,"27",83,"13",54,"11",40,36910.56,36471.769,1.012,446550,81.6745,62,"7,740","26","203","1","5,377","2,160","1","210","6","196,469","5,329","36,870,903",131,15,123,5.5,144,1.1,73,77.3,"9.2","12.5","3.3"
